GHG,Landcover,Sealed_status,sd,min,max,mean,lower,upper,source
CH4,Barren,fromsealing,53927340.34431526,-246210000,101605000,-75804967.94999999,-181500612.8068917,29890676.906891733,roads
CH4,Barren,sealed,4262474171.4101048,-19460050000,8030976000,-5991708049.280001,-14346003910.276012,2362587811.716012,roads
CH4,Barren,unsealed,4316401511.727352,-19706260000,8132581000,-6067513017.230002,-14527504523.029854,2392478488.56985,roads
CH4,Cropland,fromsealing,412827080.06582516,-1361530000,878800000,-234304326.59999985,-1043430535.3718503,574821882.1718507,roads
CH4,Cropland,sealed,5817429314.220111,-19186280000,12383830000,-3301743438.25,-14703695376.72896,8100208500.22896,roads
CH4,Cropland,unsealed,6230256394.282791,-20547810000,13262630000,-3536047764.8499975,-15747125912.094643,8675030382.39465,roads
CH4,Forestland,fromsealing,3825262.394069652,-316892000,-292462000,-304302030,-311799406.52379197,-296804653.47620803,roads
CH4,Forestland,sealed,118156224.10637154,-9788258000,-9033573000,-9399308600,-9630890543.797731,-9167726656.202269,roads
CH4,Forestland,unsealed,121981486.46973641,-10105150000,-9326035000,-9703610630,-9942689950.261343,-9464531309.738657,roads
CH4,Grassland,fromsealing,829472727.8009613,-3956440000,1417620000,-1295433662.45,-2921170335.0980797,330303010.19807935,roads
CH4,Grassland,sealed,13713199019.302523,-65409640000,23436870000,-21416666190.25,-48294042380.91293,5460710000.41293,roads
CH4,Grassland,unsealed,14542671747.094978,-69366080000,24854490000,-22712099852.7,-51215212715.99434,5791013010.594337,roads
CH4,Wetland,fromsealing,2157991.744996137,68700000,82410000,75641630,71412043.90087283,79871216.09912717,roads
CH4,Wetland,sealed,1168654617.9448745,37206260000,44630350000,40963936990,38673416028.46163,43254457951.53837,roads
CH4,Wetland,unsealed,1170812606.0241754,37274960000,44712760000,41039578620,38744828079.547134,43334329160.452866,roads
CO2,Barren,fromsealing,246650032469.52588,57733000000,1615500000000,817454556000,334029375574.0945,1300879736425.9055,roads
CO2,Barren,sealed,19495475346832.473,4563270000000,127692400000000,64612504890000,26402075348719.844,102822934431280.16,roads
CO2,Barren,unsealed,19742125379159.867,4621003000000,129307900000000,65429959446000,26736104724572.508,104123814167427.5,roads
CO2,Cropland,fromsealing,9185900754407.252,4402340000000,60535300000000,31148026850000,13143992205802.477,49152061494197.52,roads
CO2,Cropland,sealed,129444822514961.67,62036410000000,853044400000000,438928245870000,185221055755495.7,692635435984504.25,roads
CO2,Cropland,unsealed,138630723269273.7,66438750000000,913579700000000,470076272720000,198365047961484.78,741787497478515.25,roads
CO2,Forestland,fromsealing,324575141817.5475,666560000000,2671990000000,1731212430000,1095056841760.6267,2367368018239.373,roads
CO2,Forestland,sealed,10025510208776.35,20588760000000,82532720000000,53473846260000,33824207324159.723,73123485195840.28,roads
CO2,Forestland,unsealed,10350085350567.96,21255320000000,85204710000000,55205058690000,34919264165971.184,75490853214028.81,roads
CO2,Grassland,fromsealing,8805788959670.945,5522350000000,57083700000000,30531188950000,13272159733584.521,47790218166415.48,roads
CO2,Grassland,sealed,145581118639852.3,91297970000000,943739300000000,504754802470000,219421053106836.8,790088551833163.25,roads
CO2,Grassland,unsealed,154386907599420.7,96820320000000,1000823e9,535285991420000,232693212840622.38,837878769999377.6,roads
CO2,Wetland,fromsealing,66370412372.5746,62390000000,480800000000,266586770000,136503152110.68222,396670387889.31775,roads
CO2,Wetland,sealed,35943629748517.11,33789250000000,260402200000000,144371516970000,73923297189264,214819736750736,roads
CO2,Wetland,unsealed,36010000149013.86,33851640000000,260883000000000,144638103740000,74059800364650.875,215216407115349.12,roads
N2O,Barren,fromsealing,131846356.02595192,63159000,1006280000,583525079,325110969.69628876,841939188.3037112,roads
N2O,Barren,sealed,10421275642.582214,4992131000,79538030000,46122504471,25697179538.574356,66547829403.425644,roads
N2O,Barren,unsealed,10553121998.545366,5055290000,80544310000,46706029550,26022290508.39373,67389768591.60627,roads
N2O,Cropland,fromsealing,2416448213.4163322,-3935330000,10815700000,4175239914.1999993,-560911554.6021686,8911391383.002167,roads
N2O,Cropland,sealed,34051817256.167736,-55455440000,152412600000,58836162537.02,-7904172893.208275,125576497967.24826,roads
N2O,Cropland,unsealed,36468265469.53157,-59390770000,163228300000,63011402451.22001,-8465084447.707542,134487889350.14755,roads
N2O,Forestland,fromsealing,97092564.1559005,-173734000,440180000,102819363.48700002,-87478565.42520949,293117292.3992095,roads
N2O,Forestland,sealed,2999006105.015325,-5366340000,13596290000,3175895758.9020004,-2702048196.3437824,9053839714.147783,roads
N2O,Forestland,unsealed,3096098669.169747,-5540074000,14036470000,3278715122.388999,-2789526761.766095,9346957006.544094,roads
N2O,Grassland,fromsealing,736223731.1730338,7484400000,12016900000,9643360000,8200388002.337155,11086331997.662846,roads
N2O,Grassland,sealed,12171575237.725348,123735800000,198667800000,159428160900,135572311798.93878,183284010001.06122,roads
N2O,Grassland,unsealed,12907798967.81271,131220200000,210684700000,169071520900,143772699803.4038,194370341996.5962,roads
N2O,Wetland,fromsealing,658408.1190654101,20330000,24120000,22197500,20907043.799503036,23487956.200496964,roads
N2O,Wetland,sealed,356507452.60908216,11006920000,13060520000,12021126830,11322385062.666079,12719868597.333921,roads
N2O,Wetland,unsealed,357165847.46157324,11027250000,13084640000,12043324330,11343292132.46759,12743356527.53241,roads
